premiseID,capacitykW,installDate,manufacturer,model,azimuth,tilt,rateClass,dateInstalled,premiseRateCode,maxAC,efficiency
15138,2.3,1/25/2011 0:00,Enphase,M190 (10),180,23,E100,1/25/2011,E130,1.9,95.5
15164,4,10/7/2011 0:00,Enphase,M215 (16),180,23,E100,10/7/2011,E140,3.44,95.5
15180,5.98,10/31/2016 0:00,Delta,Solivia 5.2 TL,137,27,E100,10/31/2016,E140,5.2,97.5
15183,5.57,2/23/2016 0:00,SolarEdge,SE5000A-US-U,200,26,E100,2/23/2016,E140,5.4,97.5
15270,4.25,2/24/2016 0:00,SolarEdge,SE3800A-US,180,18,E100,2/24/2016,E130,4.15,98
15288,3.9,3/17/2014 0:00,Power One,PVI-3.0,185,20,E100,3/17/2014,E130,3.3,96
15420,6.9,8/24/2017 0:00,Delta,Solivia 6.6 TL,181,27,E100,8/24/2017,E140,6.6,97.5
15424,2.93,12/28/2018 0:00,SolarEdge,SE3000H-US,120,38,E100,12/28/2018,E125,3.3,97.5
15426,4.3,8/7/2012 0:00,SMA,SB3800US,181,25,E100,8/7/2012,E130,3.84,96.5
15495,4.8,6/11/2013 0:00,SMA,SB4000US,89,26,E100,6/11/2013,E140,4,96.5
15557,3.8,7/13/2011 0:00,Aurora,PVI 3.6,180,19,E100,7/13/2011,E130,4,96
15726,8.8,6/26/2013 0:00,Fronius,IG+ 7.5,180,45,E100,6/26/2013,E140,7.5,96.2
15750,11.3,2/19/2014 0:00,Power One,PVI-5000 PVI-3.6,136,27,E100,2/19/2014,E140,9,96
15919,3.08,7/13/2017 0:00,SolarEdge,HD Wave 3000H,182,30,E100,7/13/2017,E140,3.3,97.5
16098,6,4/20/2010 0:00,SMA,sb6000US,180,20,E300,4/20/2010,E370,6,95.5
16111,3.36,3/26/2018 0:00,Enphase,IQ6+,190,20,E100,3/26/2018,E140,,
16147,2.6,7/13/2016 0:00,SolarEdge,SE3000A,185,22,E100,7/13/2016,E140,3.3,97.5
16352,50,11/20/2015 0:00,AMPT solar KACO,50TL,180,35,E250,11/20/2015,E274,50,96.5
16352,7,4/6/2009 0:00,Sunnyboy Xantrex Froenius,SB4000US(2) GT4.0n IG4500-LV,180,35,E250,4/6/2009,E274,8,96.5
16397,5.04,11/5/2018 0:00,APS,YC1000-3,220,,E300,11/5/2018,E300,,
16398,4,10/1/2013 0:00,Varies,,,,E200,10/1/2013,E370,,
16445,10,12/19/2012 0:00,Fronius,IG+10.0-3,180,5,E200,12/19/2012,E274,10,96.2
16507,10.3,1/6/2011 0:00,Enphase,M190 (42),180,12,E300,1/6/2011,E370,7.98,95.5
16553,6.6,6/1/1987 0:00,Trace,PV-10208,180,35,E300,6/1/1987,E300,10,
16622,10,12/10/2010 0:00,PV Powered,PVP 4600 (2),180,15,E200,12/10/2010,E224,9.2,95.5
16811,3.58,10/6/2017 0:00,SolarEdge,SE3000H-US,90,20,E100,10/6/2017,E140,3.3,97.5
16877,4.5,9/14/2015 0:00,ABB Power One,PVI-4.2,180,34,E100,9/14/2015,E140,4.6,96
16990,5,5/3/2014 0:00,Power-One,PVI-3.6,180,23,E100,5/3/2014,E140,4,96
17115,3.92,8/1/2018 0:00,Sunpower AC Modules integrated inverter 327Watts,Sunpower AC Modules integrated inverter 327Watts,180,10,E250,8/1/2018,E223,,
17265,4.2,11/30/2017 0:00,SolarEdge,SE3800H-US,176,21,E100,11/30/2017,E140,4.15,98
17357,3,4/3/2013 0:00,Power-One,PVI-3.0,180,10,E100,4/3/2013,E140,3.3,96
17580,5.76,8/16/2018 0:00,SolarEdge,SE6000A-US,180,14,E100,8/16/2018,E140,6,97.5
17835,15.1,4/21/2015 0:00,Enphase,(54) M250,205,45,E200,4/21/2015,E224,13.5,96.5
17879,10.8,7/21/2014 0:00,SMA,(3)  4000TL-US-22,180,20,E250,7/21/2014,E273,12,96.5
18032,2.84,3/1/2017 0:00,SolarEdge,SE3000A-US-ZB-U,135,26,E100,3/1/2017,E140,3.3,97.5
18112,3,6/1/2011 0:00,Enphase,M190 (13),180,22.5,E100,6/1/2011,E140,2.47,95.5
18113,3,8/20/2010 0:00,SMA,SB 3000US,180,45,E100,8/20/2010,E140,3,96.5
18254,2.4,9/26/2017 0:00,SolarEdge,SE3000H,180,30,E100,9/26/2017,E140,3.3,97.5
18397,1.8,10/14/2005 0:00,PV Powered,PVP1800,180,35,E100,10/14/2005,E140,1.8,95
18441,6.41,8/29/2018 0:00,ABB,PVI-5000-OUTD-US-Z-A,180,27,E100,8/29/2018,E140,5,96.4
18511,7.93,1/4/2018 0:00,SolarEdge,SE7600H-US-U,183,20,E100,1/4/2018,E130,8.35,97.5
18538,3.9,11/21/2016 0:00,SolarEdge,SE3000A-US,179,18,E100,11/21/2016,E140,3.3,97.5
18567,4.8,10/23/2012 0:00,Fronius,IG+ V5,140,15,E100,10/23/2012,E140,5,96.2
18691,6.9,5/2/2013 0:00,Power One,PVI-6000,180,18,E100,5/2/2013,E140,6,96.4
18958,5.32,6/30/2017 0:00,SolarEdge,SE5000,116,18,E100,6/30/2017,E140,5.4,97.5
19110,2.16,6/9/2016 0:00,SolarEdge,SE3000A,108,18,E100,6/9/2016,E140,3.3,97.5
19110,1.62,11/2/2018 0:00,SolarEdge,SE3800HD-US,108,18,E100,11/2/2018,E140,4.15,98
19126,4.68,7/21/2016 0:00,SolarEdge,SE3800A-US-ZB-U,166,18,E100,7/21/2016,E140,4.15,98
